summary,themes,age_rating,tone,movie_id,movie_title,theme_count,tone_count,tone_str,themes_str
"A death row inmate, having already paid for his crime with years of imprisonment and the execution itself, faces an ongoing judgment beyond physical death.","['Justice and Punishment', 'Redemption and Judgement', 'The Afterlife (or lack thereof)']",R,"['Somber', 'Ominous']",866741,Box,3,2,"Somber, Ominous","Justice and Punishment, Redemption and Judgement, The Afterlife (or lack thereof)"
"A freelance translator and his sex partner's complicated arrangement unravels when he reconnects with a former lover now married to his senior, leading to a web of infidelity and partner swapping.","['Infidelity and Betrayal', 'Complex Relationships and Power Dynamics', 'Sexual Exploration and Liberation']",R,"['Provocative', 'Dramatic']",1322121,Dangerous Cohabitation,3,2,"Provocative, Dramatic","Infidelity and Betrayal, Complex Relationships and Power Dynamics, Sexual Exploration and Liberation"
"A crime boss, a cop, and a serial killer form a twisted triangle as they race to find each other, each with their own motivations and methods.","['Justice vs. Revenge', 'The Blurred Lines Between Good and Evil', 'The Corruption of Power']",R,"['Gritty', 'Violent']",581528,"The Gangster, the Cop, the Devil",3,2,"Gritty, Violent","Justice vs. Revenge, The Blurred Lines Between Good and Evil, The Corruption of Power"
"A self-centered race car, Lightning McQueen, learns the importance of friendship, community, and slowing down when he gets stranded in the forgotten town of Radiator Springs.","['The importance of friendship and community', 'The value of slowing down and appreciating the journey', 'Humility and learning from your mistakes']",G,"['Heartwarming', 'Humorous']",920,Cars,3,2,"Heartwarming, Humorous","The importance of friendship and community, The value of slowing down and appreciating the journey, Humility and learning from your mistakes"
"A grieving widower, seeking revenge on the man he believes responsible for his wife's death, becomes entangled in a web of desire and deception when he begins an affair with the man's wife, uncovering a complex truth.","['Revenge and its consequences', 'The destructive nature of secrets and lies', 'Grief, loss, and the search for closure']",R,"['Suspenseful', 'Erotic']",193551,All of a Sudden,3,2,"Suspenseful, Erotic","Revenge and its consequences, The destructive nature of secrets and lies, Grief, loss, and the search for closure"
"Wrongfully imprisoned and robbed of his life, Edmond Dant̬s escapes and transforms himself into the wealthy Count of Monte Cristo, seeking revenge on those who betrayed him.","['Revenge and Justice', 'Betrayal and Forgiveness', 'Redemption and Transformation']",PG-13,"['Dramatic', 'Suspenseful']",11362,The Count of Monte Cristo,3,2,"Dramatic, Suspenseful","Revenge and Justice, Betrayal and Forgiveness, Redemption and Transformation"
A retired special forces soldier must survive a time loop of his own murder while uncovering a conspiracy and saving his ex-wife and son.,"['Free Will vs. Predestination', 'The Value of Relationships', 'Redemption through Self-Improvement']",R,"['Violent', 'Humorous']",513310,Boss Level,3,2,"Violent, Humorous","Free Will vs. Predestination, The Value of Relationships, Redemption through Self-Improvement"
"A Hong Kong detective and an undercover cop clash with a ruthless Vietnamese gang, leading to brutal confrontations and a final showdown.","['Justice vs. Law', 'Brotherhood/Loyalty', 'Violence and its Consequences']",R,"['Intense', 'Violent']",35854,Flash Point,3,2,"Intense, Violent","Justice vs. Law, Brotherhood/Loyalty, Violence and its Consequences"
An assistant pigkeeper named Taran embarks on a perilous quest to protect a magical pig and stop the Horned King from using the Black Cauldron to raise an undead army.,"['Good versus Evil', 'The importance of courage and self-sacrifice', 'The value of true friendship']",PG,"['Dark', 'Adventurous']",10957,The Black Cauldron,3,2,"Dark, Adventurous","Good versus Evil, The importance of courage and self-sacrifice, The value of true friendship"
A weekend getaway for two boyfriends and their parents turns chaotic when they discover their rental house is haunted by a 400-year-old poltergeist.,"['Family Acceptance', 'Overcoming Prejudice', 'Found Family']",PG-13,"['Comedic', 'Heartwarming']",850920,The Parenting,3,2,"Comedic, Heartwarming","Family Acceptance, Overcoming Prejudice, Found Family"
"An ex-con seeks violent revenge on the men who killed his brother, while being pursued by both a cop on the verge of retirement and a narcissistic hitman looking for a challenge.","['Revenge and its consequences', 'Redemption and the possibility of change', 'The cyclical nature of violence']",R,"['Gritty', 'Violent']",41283,Faster,3,2,"Gritty, Violent","Revenge and its consequences, Redemption and the possibility of change, The cyclical nature of violence"
Three friends in the 1930s become entangled in a murder mystery that exposes a fascist plot to overthrow the US government.,"['The power of friendship and loyalty', 'The threat of fascism and political extremism', 'The importance of truth and justice']",R,"['Whimsical', 'Suspenseful']",664469,Amsterdam,3,2,"Whimsical, Suspenseful","The power of friendship and loyalty, The threat of fascism and political extremism, The importance of truth and justice"
"A pregnant prostitute's daughter grapples with her resentment towards her mother, the allure of a comfortable life provided by her mother's work, and the unsettling attention of an older man.","['The complex relationship between a mother and daughter shaped by poverty and prostitution.', 'The moral ambiguity of survival and the desire for a better life at any cost.', 'Exploitation and manipulation, particularly the power dynamics between young women and older men.']",R,"['Uneasy', 'Melancholy']",724890,Housemaid Mom,3,2,"Uneasy, Melancholy","The complex relationship between a mother and daughter shaped by poverty and prostitution., The moral ambiguity of survival and the desire for a better life at any cost., Exploitation and manipulation, particularly the power dynamics between young women and older men."
"Adonis Creed confronts his troubled past when a childhood friend, released from prison, challenges him for a shot at his boxing title, forcing Adonis to risk everything to settle a score.","['The burden of the past', 'The corrosive nature of resentment', 'The importance of forgiveness and reconciliation']",PG-13,"['Intense', 'Melancholy']",677179,Creed III,3,2,"Intense, Melancholy","The burden of the past, The corrosive nature of resentment, The importance of forgiveness and reconciliation"
Four scientists transformed by cosmic rays into superheroes with unique powers must unite to stop the villainous Dr. Doom from destroying the world.,"['The responsibility of power', 'The importance of family and unity', 'Overcoming personal limitations and flaws']",PG-13,"['Action-packed', 'Serious']",9738,Fantastic Four,3,2,"Action-packed, Serious","The responsibility of power, The importance of family and unity, Overcoming personal limitations and flaws"
